instance,severity,method,cpu_mean,cpu_sd,episodes
j15c10a1,stationary,ShortestQueue,500.99,67.72,50
j15c10a1,stationary,VanillaTS,526.87,86.86,50
j15c10b1,A070,CostMinimising,1827.61,597.46,50
j15c10b1,A070,HBQ,930.19,291.94,50
j15c10b1,A070,LeastUtilised,942.24,204.92,50
j15c10b1,A070,Random,977.92,259.65,50
j15c10b1,A070,RoundRobin,1001.55,184.8,50
j15c10b1,A070,ShortestQueue,936.86,208.94,50
j15c10b1,A070,VanillaTS,961.3,227.88,50
j15c10b1,A090,CostMinimising,824.64,138.03,50
j15c10b1,A090,HBQ,564.89,85.64,50
j15c10b1,A090,LeastUtilised,560.0,83.99,50
j15c10b1,A090,Random,580.84,116.4,50
j15c10b1,A090,RoundRobin,584.91,82.45,50
j15c10b1,A090,ShortestQueue,559.1,81.42,50
j15c10b1,A090,VanillaTS,583.62,101.95,50
j15c10b1,stationary,CostMinimising,591.73,63.61,50
j15c10b1,stationary,HBQ,462.68,56.32,50
j15c10b1,stationary,LeastUtilised,458.91,62.37,50
j15c10b1,stationary,Random,469.8,61.8,50
j15c10b1,stationary,RoundRobin,466.97,48.24,50
j15c10b1,stationary,ShortestQueue,457.86,64.9,50
j15c10b1,stationary,VanillaTS,476.19,58.43,50
j15c5a1,A070,CostMinimising,379.51,86.08,50
j15c5a1,A070,HBQ,273.85,58.92,50
j15c5a1,A070,LeastUtilised,272.69,49.06,50
j15c5a1,A070,Random,268.25,39.77,50
j15c5a1,A070,RoundRobin,270.56,52.69,50
j15c5a1,A070,ShortestQueue,272.22,49.1,50
j15c5a1,A070,VanillaTS,279.95,59.45,50
j15c5a1,A090,CostMinimising,241.16,33.52,50
j15c5a1,A090,HBQ,200.9,27.2,50
j15c5a1,A090,LeastUtilised,199.41,25.84,50
j15c5a1,A090,Random,196.86,23.7,50
j15c5a1,A090,RoundRobin,203.36,27.02,50
j15c5a1,A090,ShortestQueue,198.25,25.93,50
j15c5a1,A090,VanillaTS,207.49,34.32,50
j15c5a1,stationary,CostMinimising,199.45,17.21,50
j15c5a1,stationary,HBQ,182.3,27.73,50
j15c5a1,stationary,LeastUtilised,181.02,21.9,50
j15c5a1,stationary,Random,188.05,28.89,50
j15c5a1,stationary,RoundRobin,180.74,21.51,50
j15c5a1,stationary,ShortestQueue,181.02,21.89,50
j15c5a1,stationary,VanillaTS,181.52,21.78,50
j15c5b1,A070,CostMinimising,391.78,87.75,50
j15c5b1,A070,HBQ,267.87,47.98,50
j15c5b1,A070,LeastUtilised,270.38,48.42,50
j15c5b1,A070,Random,264.51,49.69,50
j15c5b1,A070,RoundRobin,265.91,57.87,50
j15c5b1,A070,ShortestQueue,270.38,48.42,50
j15c5b1,A070,VanillaTS,263.44,51.75,50
j15c5b1,A090,CostMinimising,244.0,26.08,50
j15c5b1,A090,HBQ,193.33,24.89,50
j15c5b1,A090,LeastUtilised,192.34,21.11,50
j15c5b1,A090,Random,194.91,27.47,50
j15c5b1,A090,RoundRobin,193.32,27.8,50
j15c5b1,A090,ShortestQueue,192.2,20.97,50
j15c5b1,A090,VanillaTS,190.38,24.76,50
j15c5b1,stationary,CostMinimising,207.09,26.07,50
