config,instance,severity,method,policy_source,seed,total_cost,departed,cpu,breakdown_count
j10c5a2__A090.json,j10c5a2,A090,LeastUtilised,ns:baselines.run_episode,36,3485.3918,14,248.9566,
j10c5a2__A090.json,j10c5a2,A090,LeastUtilised,ns:baselines.run_episode,37,4195.5252,27,155.3898,
j10c5a2__A090.json,j10c5a2,A090,LeastUtilised,ns:baselines.run_episode,38,4150.2066,27,153.7114,
j10c5a2__A090.json,j10c5a2,A090,LeastUtilised,ns:baselines.run_episode,39,4352.5236,24,181.3552,
j10c5a2__A090.json,j10c5a2,A090,LeastUtilised,ns:baselines.run_episode,40,3776.5058,23,164.1959,
j10c5a2__A090.json,j10c5a2,A090,LeastUtilised,ns:baselines.run_episode,41,3885.7948,26,149.4536,
j10c5a2__A090.json,j10c5a2,A090,LeastUtilised,ns:baselines.run_episode,42,3904.1682,24,162.6737,
j10c5a2__A090.json,j10c5a2,A090,LeastUtilised,ns:baselines.run_episode,43,3780.5416,24,157.5226,
j10c5a2__A090.json,j10c5a2,A090,LeastUtilised,ns:baselines.run_episode,44,4196.9142,28,149.8898,
j10c5a2__A090.json,j10c5a2,A090,LeastUtilised,ns:baselines.run_episode,45,4188.7058,30,139.6235,
j10c5a2__A090.json,j10c5a2,A090,LeastUtilised,ns:baselines.run_episode,46,4493.8422,21,213.9925,
j10c5a2__A090.json,j10c5a2,A090,LeastUtilised,ns:baselines.run_episode,47,4048.2628,20,202.4131,
j10c5a2__A090.json,j10c5a2,A090,LeastUtilised,ns:baselines.run_episode,48,3986.5508,21,189.8358,
j10c5a2__A090.json,j10c5a2,A090,LeastUtilised,ns:baselines.run_episode,49,4098.0846,29,141.3133,
j10c5a2__A090.json,j10c5a2,A090,RoundRobin,ns:baselines.run_episode,0,3777.2676,23,164.229,
j10c5a2__A090.json,j10c5a2,A090,RoundRobin,ns:baselines.run_episode,1,3867.609,23,168.1569,
j10c5a2__A090.json,j10c5a2,A090,RoundRobin,ns:baselines.run_episode,2,4085.9272,28,145.926,
j10c5a2__A090.json,j10c5a2,A090,RoundRobin,ns:baselines.run_episode,3,3660.1482,23,159.1369,
j10c5a2__A090.json,j10c5a2,A090,RoundRobin,ns:baselines.run_episode,4,3935.4092,20,196.7705,
j10c5a2__A090.json,j10c5a2,A090,RoundRobin,ns:baselines.run_episode,5,3798.38,24,158.2658,
j10c5a2__A090.json,j10c5a2,A090,RoundRobin,ns:baselines.run_episode,6,3952.3638,24,164.6818,
j10c5a2__A090.json,j10c5a2,A090,RoundRobin,ns:baselines.run_episode,7,3883.0014,28,138.6786,
j10c5a2__A090.json,j10c5a2,A090,RoundRobin,ns:baselines.run_episode,8,4502.3904,24,187.5996,
j10c5a2__A090.json,j10c5a2,A090,RoundRobin,ns:baselines.run_episode,9,3660.8498,22,166.4023,
j10c5a2__A090.json,j10c5a2,A090,RoundRobin,ns:baselines.run_episode,10,4096.269,27,151.7137,
j10c5a2__A090.json,j10c5a2,A090,RoundRobin,ns:baselines.run_episode,11,3975.3454,23,172.8411,
j10c5a2__A090.json,j10c5a2,A090,RoundRobin,ns:baselines.run_episode,12,3439.5348,17,202.3256,
j10c5a2__A090.json,j10c5a2,A090,RoundRobin,ns:baselines.run_episode,13,3621.4378,22,164.6108,
